NodeID_1,intersection
0002581,Kinghorn Street and Holdridge Avenue
0002582,Kinghorn Street and Bennett Place
0002583,Lenzie Street and Ravenna Street
0002584,Lenzie Street and Harold Avenue
0002585,Kinghorn Street and Harold Avenue
0002587,Harold Avenue and Bathgate Street
0002588,Harold Avenue and Jansen Street
0002589,Harold Avenue and Weaver Street
0002590,Shirley Avenue and Harold Avenue
0002591,Noel Street and Harold Avenue
0002592,Arden Avenue and Jansen Street
0002593,Arden Avenue and Weaver Street
0002594,Shirley Avenue and Arden Avenue
0002595,Arden Avenue and Noel Street
0002596,Shirley Avenue and Seidman Avenue
0002597,Lenzie Street and Arden Avenue
0002598,Arden Avenue and Eylandt Street
0002599,Arden Avenue and Sandborn Street
0002600,Koch Boulevard and Arden Avenue
0002601,Woods Of Arden Road and Rankin Street
0002602,Seidman Avenue and Koch Boulevard
0000983,Sharrotts Road and White Oak Lane
0002901,Woehrle Avenue and Ludlow Street
0002903,Notus Avenue and Drumgoole Road West
0002905,Drumgoole Road West and Smyrna Avenue
0002906,Ludlow Street and Walker Court
0002907,Drumgoole Road East and Notus Avenue
0002908,Drumgoole Road West and Walker Court
0002909,Waring Avenue and Woehrle Avenue
0002910,Woehrle Avenue and Alexander Avenue
0002911,Loring Avenue and Alexander Avenue
0002912,Loring Avenue and Mc Arthur Avenue
0001409,Gilroy Street and West Castor Place
0001410,Marcy Avenue and West Castor Place
0001412,Marcy Avenue and Venus Place
0001416,Oswald Place and Elizabeth Place
0001417,Elizabeth Place and Florence Place
0001418,Seguine Avenue and Waterbury Avenue
0001420,Seguine Avenue and Herbert Street
0001421,Waterbury Avenue
0001422,Oswald Place and Seguine Avenue
0001423,Seguine Avenue and Mac Gregor Avenue
0001424,Holton Avenue
0001425,Holton Avenue and Herbert Street
0001426,Odell Place and Amboy Road
0001428,Foster Road and Valdemar Avenue
0001430,Foster Road and Wheeling Avenue
0001431,Amboy Road and Seguine Avenue
0001432,Amboy Road and Foster Road
0001433,Amboy Road and Madera Street
0001434,Madera Street and Princewood Avenue
0001435,Haynes Street and Amboy Road
0001436,Queensdale Street and Wheeling Avenue
0001437,Waterbury Avenue and Madera Street
0001439,Queensdale Street and Amboy Road
0001440,Princewood Avenue and Haynes Street
0001441,Amboy Road and Wrenn Street
0001442,Ashland Avenue and Queensdale Street
0001443,Albourne Avenue and Queensdale Street
0001444,Valdemar Avenue and Queensdale Street
0001445,Ashland Avenue
0001447,Valdemar Avenue
0001448,Albourne Avenue and Vernon Avenue
0001449,Vernon Avenue and Carlton Avenue
0001450,Drumgoole Road West and Vernon Avenue
0001453,Vernon Avenue and Drumgoole Road East
0001455,Lamont Avenue and Vernon Avenue
0001456,Vernon Avenue and Ionia Avenue
0001457,Vernon Avenue and Darlington Avenue
0001458,Edgegrove Avenue and Vernon Avenue
0002860,Kenilworth Avenue and Gary Street
0002871,Aspen Knolls Way and Arthur Kill Road
0002880,Kenilworth Avenue and Billings Street
0003092,Gurley Avenue and Eltingville Boulevard
0003093,Gurley Avenue and Getz Avenue
0003094,Getz Avenue and Arthur Kill Road
0003097,Drumgoole Road West and Richmond Avenue
0003099,Richmond Avenue and Fresh Kills Branch
0003100,Fresh Kills Branch and Richmond Avenue
0003103,Richmond Avenue and Forest Hill Road
0002913,Loring Avenue and Forrestal Court
0002500,Holdridge Avenue and Koch Boulevard
0002501,Jansen Street and Holdridge Avenue
0002502,Holdridge Avenue and Weaver Street
0002503,Koch Boulevard and Harold Avenue
0002507,Harold Avenue and Sycamore Street
0002508,Harold Avenue and Tallman Street
0002509,Harold Avenue and Eylandt Street
0002510,Harold Avenue and Sandborn Street
0002511,Arden Avenue and Tallman Street
0002512,Blue Heron Drive
0002513,Harold Avenue and Oakdale Street
0002514,Harold Avenue and Fingal Street
0002426,Amboy Road and Winslow Place
0002427,Winslow Place
0002428,Seguine Place and Amboy Road
0002430,Amboy Road and May Place
0002432,Mosely Avenue and Eagan Avenue
0002433,Sneden Avenue and Seguine Place
0002435,Lucy Loop and Jeannette Avenue
0002436,Mosely Avenue and Seguine Place
0002437,Jeannette Avenue and Lucy Loop
0002438,May Place and Mosely Avenue
0002439,Arden Avenue and Jeannette Avenue
0002440,Arden Avenue and Van Brunt Street
0002443,Arden Avenue and Vanessa Lane
0002444,Pompey Avenue and Ray Street
0002446,Pompey Avenue at Bent Street and Adlai Circle
0003042,Berry Avenue at Drumgoole Road West and Challenger Drive
0003044,Arthur Kill Road and Ladd Avenue
0003045,Arthur Kill Road and Drumgoole Road West
0003052,Arthur Kill Road and Token Street
0003060,Figurea Avenue and Wainwright Avenue
0003061,Augusta Avenue and Wainwright Avenue
0003062,Augusta Avenue and Richmond Avenue
0003063,Richmond Avenue and Genesee Avenue
0003064,Richmond Avenue and Scranton Avenue
0000351,Poe Street and Bedell Avenue
0000352,Amboy Road and Nashville Street
0000354,Amboy Road and Hecker Street
0000355,Newfolden Place
0000356,Amboy Road and Hale Street
0000357,Amboy Road and Bedell Avenue
0000358,Bedell Avenue and Newfolden Place
0000359,Lenhart Street and Hecker Street
0000360,Bethel Avenue and Maiden Lane
0000361,Lenhart Street and Hale Street
0000362,Craig Avenue and Bethel Avenue
0000365,Lenhart Street and Bethel Avenue
0000367,Ferguson Court and Bethel Avenue
0000372,Page Avenue and Richmond Valley Road
0000374,Joline Avenue
0000375,Tricia Way at Joline Avenue and Joline Lane
0000383,Lulu Court and Bedell Avenue
0000384,Bedell Avenue
0000385,Jojo Court and Bedell Avenue
0000386,Bedell Avenue and Hylan Boulevard
0000389,Kerry Lane and Bedell Avenue
0000390,Bedell Avenue and Giegerich Place
0000391,Dell Court and Bedell Avenue
0000395,Bedell Avenue and Jacob Street
0000396,Bedell Avenue and Spruce Court
0000400,Haywood Street and Jacob Street
0000404,Page Avenue at Academy Avenue and Haywood Street
0000405,Page Avenue and Jeffrey Place
0000406,Page Avenue and Estelle Place
0000408,Page Avenue at Eastwood Avenue and Elizabeth Court
0000410,Amboy Road and Bethel Avenue
0000414,Minerva Avenue
0000415,Page Avenue and Minerva Avenue
0000416,Page Avenue and Adelphi Avenue
0000417,Amboy Road and Page Avenue
0000418,Amboy Road and Murray Street
0000419,Amboy Road and Eugene Street
0000422,Murray Street
0000423,Madsen Avenue and Richmond Valley Road
0000432,Ellis Road
0000439,Androvette Street
0000442,Sharrotts Road
0000445,Arthur Kill Road and South Branch Street
0000471,Englewood Avenue and Gaton Street
0000472,Cosmen Street
0000473,Cosmen Street and Englewood Avenue
0000474,Androvette Street and Manley Street
0000475,Arthur Kill Road and Winant Place
0000476,Manley Street and Arthur Kill Road
0000477,Androvette Street and Arthur Kill Road
0000479,Winant Lane
0000480,Arthur Kill Road and Winant Lane
0000481,Sharrotts Road and Arthur Kill Road
0000483,Storer Avenue and Arthur Kill Road
0000485,Lundsten Avenue and Muriel Street
0000486,Nielsen Avenue
0000487,Ellis Road and Arthur Kill Road
0000488,Arthur Kill Road and Clay Pit Road
0000491,Boscombe Avenue at Page Avenue and South Branch Street
0000492,Boscombe Avenue and South Branch Street
0000494,Boscombe Avenue and Madsen Avenue
0000497,Boscombe Avenue at West Shore Exwy Nb En Boscombe Avenue and West Shore Exwy Nb Exit 1
0000510,Sharrotts Road and Marjorie Street
0000512,Sharrotts Road and Carlin Street
0000513,Carlin Street and Lundsten Avenue
0000514,Carlin Street and Storer Avenue
0000515,Carlin Street and Nielsen Avenue
0000516,Carlin Street
0000522,Johnson Street
0000533,Page Avenue
0000534,Page Avenue and Surf Avenue
0000537,Page Avenue and Bartow Avenue
0000538,Page Avenue and Hylan Boulevard
0000539,Page Avenue and Camden Avenue
0000540,Camden Avenue and Camden Court
0000541,Camden Court
0000542,Camden Court
0000543,Camden Avenue and Camden Court
0000545,Camden Avenue and Eugene Street
0000548,Hylan Boulevard and Culotta Lane
0000551,Estelle Place
0000552,Academy Avenue
0000555,Eugene Street and Bartow Avenue
0000557,Eastwood Avenue
0000562,Adelphi Avenue and Eugene Street
0000568,Richmond Valley Road
0000570,Amboy Road and Richmond Valley Road
0000571,Richmond Valley Road
0000572,Richmond Valley Road
0000575,Weiner Street and Richmond Valley Road
0000576,Richmond Valley Road and Amboy Road
0000578,Amboy Road
0000580,Butler Street
0000581,Butler Street and Weiner Street
0000583,Weiner Street and Cole Street
0000585,Meade Loop and Butler Street
0000586,Cole Street
0000590,Surf Avenue
0000601,Flower Avenue
0000602,Butler Boulevard and Flower Avenue
0000603,Hylan Boulevard and Butler Boulevard
0000606,Bartow Avenue
0000607,Richard Avenue and Academy Avenue
0000608,Richard Avenue and Bartow Avenue
0000618,Richard Avenue
0000621,Richard Avenue and Flower Avenue
0000622,Hylan Boulevard and Richard Avenue
0000625,Hylan Boulevard and Mount Loretto Service Road
0000636,Amboy Road and Cunningham Road
0000641,Emerald Court at Station Avenue and Drumgoole Road East
0000643,Station Avenue and Savo Loop
0000645,Station Avenue and Savo Loop
0000647,Carly Court and Station Avenue
0000657,Hylan Boulevard at Mount Loretto Service Road and Cunningham Road
0000670,Station Avenue and Canterbury Court
0000674,Weir Avenue
0000677,Amboy Road at Bedell Street and Mount Loretto Service Road
0000681,Weir Avenue and Amboy Road
0000682,Amboy Road and Penton Street
0000698,Amboy Road and Station Avenue
0000699,Penton Street and Gilbert Place
0000700,Gilbert Place and Bedell Street
0000703,Bedell Street and Sharrott Avenue
0000704,Sharrott Avenue and Latourette Street
0000705,Sharrott Avenue and Penton Street
0000711,Sharrott Avenue and Hylan Boulevard
0000712,Sharrott Avenue
0000713,Sharrott Avenue and Mount Loretto Service Road
0000714,Stevenson Place and Sharrott Avenue
0000715,Vail Avenue and Sharrott Avenue
0000716,Sherwood Avenue and Sharrott Avenue
0000717,Vail Avenue
0000718,South Goff Avenue
0000719,Sherwood Avenue
0000720,Kenneth Place and Sharrott Avenue
0000722,Kenneth Place and Cordelia Avenue
0000723,Cordelia Avenue and Everett Place
0000724,South Goff Avenue and Everett Place
0000725,South Goff Avenue and Kenneth Place
0000726,South Goff Avenue and Stevenson Place
0000727,Kenneth Place and Elder Avenue
0000729,Cordelia Avenue and Latourette Street
0000730,South Goff Avenue
0000731,South Goff Avenue and Latourette Street
0000732,Latourette Street and South Goff Avenue
0000733,George Lane
0000735,Latourette Street and Woodvale Avenue
0000736,Ficarelle Drive and Woodvale Avenue
0000738,Woodvale Avenue and Woodvale Loop
0000739,Hylan Boulevard and Woodvale Avenue
0000743,Vail Avenue and Woodvale Avenue
0000744,Woodvale Avenue and Palmieri Lane
0000745,Woodvale Avenue and Woodvale Loop
0000753,Elder Avenue
0000754,Woodvale Avenue and Excelsior Avenue
0000783,Bayview Avenue and Hylan Boulevard
0000784,Bayview Lane and Bayview Avenue
